"";"uf";"codUf";"codIbge";"nomeMun"
"267";"BA";"29";"2904605";"BRUMADO"
"268";"BA";"29";"2904704";"BUERAREMA"
"269";"BA";"29";"2904753";"BURITIRAMA"
"270";"BA";"29";"2904803";"CAATIBA"
"271";"BA";"29";"2904852";"CABACEIRAS DO PARAGUACU"
"272";"BA";"29";"2904902";"CACHOEIRA"
"273";"BA";"29";"2905008";"CACULE"
"274";"BA";"29";"2905107";"CAEM"
"275";"BA";"29";"2905156";"CAETANOS"
"276";"BA";"29";"2905206";"CAETITE"
"277";"BA";"29";"2905305";"CAFARNAUM"
"278";"BA";"29";"2905404";"CAIRU"
"279";"BA";"29";"2905503";"CALDEIRAO GRANDE"
"280";"BA";"29";"2905602";"CAMACAN"
"281";"BA";"29";"2905701";"CAMACARI"
"282";"BA";"29";"2905800";"CAMAMU"
"283";"BA";"29";"2905909";"CAMPO ALEGRE DE LOURDES"
"284";"BA";"29";"2906006";"CAMPO FORMOSO"
"285";"BA";"29";"2906105";"CANAPOLIS"
"286";"BA";"29";"2906204";"CANARANA"
"287";"BA";"29";"2906303";"CANAVIEIRAS"
"288";"BA";"29";"2906402";"CANDEAL"
"289";"BA";"29";"2906501";"CANDEIAS"
"290";"BA";"29";"2906600";"CANDIBA"
"291";"BA";"29";"2906709";"CANDIDO SALES"
"292";"BA";"29";"2906808";"CANSANCAO"
"293";"BA";"29";"2906824";"CANUDOS"
"294";"BA";"29";"2906857";"CAPELA DO ALTO ALEGRE"
"295";"BA";"29";"2906873";"CAPIM GROSSO"
"296";"BA";"29";"2906899";"CARAIBAS"
"297";"BA";"29";"2906907";"CARAVELAS"
"298";"BA";"29";"2907004";"CARDEAL DA SILVA"
"299";"BA";"29";"2907103";"CARINHANHA"
"300";"BA";"29";"2907202";"CASA NOVA"
"301";"BA";"29";"2907301";"CASTRO ALVES"
"302";"BA";"29";"2907400";"CATOLANDIA"
"303";"BA";"29";"2907509";"CATU"
"304";"BA";"29";"2907558";"CATURAMA"
"305";"BA";"29";"2907608";"CENTRAL"
"306";"BA";"29";"2907707";"CHORROCHO"
"307";"BA";"29";"2907806";"CICERO DANTAS"
"308";"BA";"29";"2907905";"CIPO"
"309";"BA";"29";"2908002";"COARACI"
"310";"BA";"29";"2908101";"COCOS"
"311";"BA";"29";"2908200";"CONCEICAO DA FEIRA"
"312";"BA";"29";"2908309";"CONCEICAO DO ALMEIDA"
"313";"BA";"29";"2908408";"CONCEICAO DO COITE"
"314";"BA";"29";"2908507";"CONCEICAO DO JACUIPE"
"315";"BA";"29";"2908606";"CONDE"
"316";"BA";"29";"2908705";"CONDEUBA"
"317";"BA";"29";"2908804";"CONTENDAS DO SINCORA"
"318";"BA";"29";"2908903";"CORACAO DE MARIA"
"319";"BA";"29";"2909000";"CORDEIROS"
"320";"BA";"29";"2909109";"CORIBE"
"321";"BA";"29";"2909208";"CORONEL JOAO SA"
"322";"BA";"29";"2909307";"CORRENTINA"
"323";"BA";"29";"2909406";"COTEGIPE"
"324";"BA";"29";"2909505";"CRAVOLANDIA"
"325";"BA";"29";"2909604";"CRISOPOLIS"
"326";"BA";"29";"2909703";"CRISTOPOLIS"
"327";"BA";"29";"2909802";"CRUZ DAS ALMAS"
"328";"BA";"29";"2909901";"CURACA"
"329";"BA";"29";"2910008";"DARIO MEIRA"
"330";"BA";"29";"2910057";"DIAS D AVILA"
"331";"BA";"29";"2910057";"DIAS D'AVILA"
"332";"BA";"29";"2910057";"DIAS DAVILA"
"333";"BA";"29";"2910107";"DOM BASILIO"
"334";"BA";"29";"2910206";"DOM MACEDO COSTA"
"335";"BA";"29";"2910305";"ELISIO MEDRADO"
"336";"BA";"29";"2910404";"ENCRUZILHADA"
"337";"BA";"29";"2910503";"ENTRE RIOS"
"338";"BA";"29";"2900504";"ERICO CARDOSO"
"339";"BA";"29";"2910602";"ESPLANADA"
"340";"BA";"29";"2910701";"EUCLIDES DA CUNHA"
